binary_name,dependency_name
srv-hddmgr2,libcpp-ne.so.4
srv-hddmgr2,libc.so.3
stage2,libsys_colibry.cpp-ne.so.7
stage2,libsys_trace_clienttrace.cpp-ne.so.7
stage2,libsys_dsi_trace.cpp-ne.so.6
stage2,libsys_dsi_colibry.cpp-ne.so.8
stage2,libsys_colibry_net.cpp-ne.so.7
stage2,libsys_dsi_servicebroker.cpp-ne.so.4
stage2,libsocket.so.3
stage2,libSysMoCCAFrameworkSharedSo.cpp-ne.so.11
stage2,libwdgadapter.so.1
stage2,libheartbeat.so.3
stage2,libcpp-ne.so.4
stage2,libc.so.3
starter,libc.so.3
SwdlMaster,libsys_colibry.cpp-ne.so.7
SwdlMaster,libsys_trace_clienttrace.cpp-ne.so.7
SwdlMaster,libsys_dsi_trace.cpp-ne.so.6
SwdlMaster,libsys_dsi_colibry.cpp-ne.so.8
SwdlMaster,libsys_colibry_net.cpp-ne.so.7
SwdlMaster,libsys_dsi_servicebroker.cpp-ne.so.4
SwdlMaster,libsocket.so.3
SwdlMaster,libSysMoCCAFrameworkSharedSo.cpp-ne.so.11
SwdlMaster,libwdgadapter.so.1
SwdlMaster,libheartbeat.so.3
SwdlMaster,libcpp-ne.so.4
SwdlMaster,libc.so.3
SwdlSlave,libsys_colibry.cpp-ne.so.7
SwdlSlave,libsys_trace_clienttrace.cpp-ne.so.7
SwdlSlave,libsys_dsi_trace.cpp-ne.so.6
SwdlSlave,libsys_dsi_colibry.cpp-ne.so.8
SwdlSlave,libsys_colibry_net.cpp-ne.so.7
SwdlSlave,libsys_dsi_servicebroker.cpp-ne.so.4
SwdlSlave,libsocket.so.3
SwdlSlave,libSysMoCCAFrameworkSharedSo.cpp-ne.so.11
SwdlSlave,libwdgadapter.so.1
SwdlSlave,libheartbeat.so.3
SwdlSlave,libcpp-ne.so.4
SwdlSlave,libc.so.3
sysetadjread,libcpp-ne.so.4
sysetadjread,libc.so.3
sysetpageproxy,libsys_colibry.cpp-ne.so.7
sysetpageproxy,libsys_colibry_net.cpp-ne.so.7
sysetpageproxy,libsocket.so.3
sysetpageproxy,libsys_trace_clienttrace.cpp-ne.so.7
sysetpageproxy,libsys_dsi_trace.cpp-ne.so.6
sysetpageproxy,libsys_dsi_colibry.cpp-ne.so.8
sysetpageproxy,libsys_dsi_servicebroker.cpp-ne.so.4
sysetpageproxy,libSysMoCCAFrameworkSharedSo.cpp-ne.so.11
sysetpageproxy,libwdgadapter.so.1
sysetpageproxy,libheartbeat.so.3
sysetpageproxy,libcpp-ne.so.4
sysetpageproxy,libc.so.3
sysetshellevo,libsys_colibry.cpp-ne.so.7
sysetshellevo,libsys_colibry_net.cpp-ne.so.7
sysetshellevo,libsocket.so.3
sysetshellevo,libsys_trace_clienttrace.cpp-ne.so.7
sysetshellevo,libsys_dsi_trace.cpp-ne.so.6
sysetshellevo,libsys_dsi_colibry.cpp-ne.so.8
sysetshellevo,libsys_dsi_servicebroker.cpp-ne.so.4
sysetshellevo,libSysMoCCAFrameworkSharedSo.cpp-ne.so.11
sysetshellevo,libwdgadapter.so.1
sysetshellevo,libheartbeat.so.3
sysetshellevo,libcpp-ne.so.4
sysetshellevo,libc.so.3
sysshutdown,libc.so.3
